Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
kolono,"{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊",圆柱，支柱；纪念柱；柱状物；（转）支柱人物；（排版）栏；（军）纵队,"원주, 기둥; 기념주; 기둥 모양의 것; (비유) 버팀목이 되는 사람; (인쇄) 세로 란; (군사) 종대",C,8.0,3.0,8.79,8.4
koloro,"{Ｂ}色, 色彩; 【楽】=son〜（音色）; 【遊】（トランプの）色（赤または黒）; 《転》特色, 個性, 色合い",颜色，色彩；（乐）音色；（纸牌）红/黑色组；（转）特色,"색, 색채; (음악) 음색; (카드) 빨강·검정 색 그룹; (비유) 특색",A,3.0,1.0,2.54,2.77
kolumno,"{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）",栏，专栏；纵列；（数）数位,"세로 란, 칼럼; 신문 칼럼; 세로줄; (놀이판 등의) 세로줄; (수학) 자리수",C,9.0,3.0,8.79,8.9
komandi,"{Ｂ}［他］【軍】指揮する, 指図する, 命令する; 【機】操作する, 制御する",统帅，指挥，命令，控制,"지휘하다, 명령하다; (기계) 조작하다, 제어하다",C,8.0,3.0,8.79,8.4
kombi,"{Ｂ}［他］（くしで）すく, くしけずる",梳，梳头,머리카락을 빗다,C,6.0,3.0,8.79,7.4
kombini,"{Ｂ}［他］組み合わせる, 結合する; 組み立てる, 案配する; 【化】化合させる",组合，结合，配合；（化）化合,"결합하다, 조합하다, 배합하다; (화학) 화합시키다",C,9.0,3.0,8.79,8.9
komedio,"{Ｂ}喜劇, コメディー, ><〜; 《転》茶番, 見せかけの芝居, >>farso",喜剧；（转）闹剧，做作表演,"희극; (비유) 희극 같은 짓, 가식적인 연기",C,9.0,3.0,8.79,8.9
komenci,"{Ｂ}［他］始める, 開始する, 着手する, 取りかかる",开始,시작하다,A,2.0,1.0,2.54,2.27
komerci,"{Ｂ}［自］商売をする, 商取引をする",经商，做买卖,장사하거나 거래하다,A,4.0,1.0,2.54,3.27
komforta,"{Ｂ}快適な, 心地よい, 安楽な",舒服，安逸,"편안한, 쾌적한",B,6.0,2.0,5.67,5.83
komika,"{Ｂ}こっけいな, おかしな, おどけた, おもしろい",可笑，滑稽,"우스운, 익살스러운",C,8.0,3.0,8.79,8.4
komisii,"{Ｂ}［他］委託する, 委任する",委托，委任；托付,위임하거나 맡기다,C,8.0,3.0,8.79,8.4
komisiono,{Ｂ}（調査・審議する）委員会,（处理专门或临时事物的）委员会,특정 업무를 맡은 위원회,C,8.0,3.0,8.79,8.4
komitato,{Ｂ}（実行）委員会,执行委员会,위원회,C,7.0,3.0,8.79,7.9
komo,"{Ｂ}コンマ, 読点; 【数】小数点; 【情】コンマ（，）",逗号；（数）小数点,"콤마, 쉼표; (수학) 소수점",C,8.0,3.0,8.79,8.4
kompanio,"{Ｂ}会社; （集合的に）仲間, 一同, 同伴; 【軍】中隊",公司；伙伴，一行人；陪伴；（军）连,"회사; 동료, 일행, 동반; (군사) 중대",B,9.0,2.0,5.67,7.33
kompari,"{Ｂ}［他］比較する, 比べる; たとえる",比较，对比；比作，比拟,"비교하다, 견주다; 비유하다",B,6.0,2.0,5.67,5.83
kompati,"{Ｂ}［他］哀れむ, 同情する, 気の毒に思う",怜悯，同情,"불쌍히 여기다, 동정하다",B,5.0,2.0,5.67,5.33
kompetenta,"{Ｂ}適任の, 有能な, 資格のある; 権限のある, 所管の, 管轄の",有能力的，能胜任的；有权限的，主管的,"유능하고 자격을 갖춘; 권한이 있는, 관할의",C,9.0,3.0,8.79,8.9
kompleta,"{Ｂ}全部の, 完備した; 完全な",全，齐全，完备,"전부 갖춘, 완비된; 완전한",C,8.0,3.0,8.79,8.4
kompliki,"{Ｂ}［他］複雑にする, 込み入らせる, ややこしくする",使复杂，使麻烦,복잡하게 하다,C,9.0,3.0,8.79,8.9
komponi,"{Ｂ}［他］（芸術作品を）構成する, 創作する; 【楽】作曲する; 【化】構成する",组成，构成；创作；作曲；（化）构成,"구성하다, 창작하다; (음악) 작곡하다; (화학) 구성하다",C,9.0,3.0,8.79,8.9
kompreni,"{Ｂ}［他］理解する, わかる; 了解する, 納得する; 精通している",理解，明白；领会，懂得,"이해하다, 알아듣다; 납득하다; 정통하다",A,2.0,1.0,2.54,2.27
komuna,"{Ｂ}共通の, 共有の, 共同の; 一般の, 普通の",共同的，共通的，共有的；一般的，普通的,"공통의, 공동의; 일반적인, 보통의",A,4.0,1.0,2.54,3.27
komuniki,"{Ｂ}［他］伝える, 伝達する, 知らせる",传达，通知；传递，传播,"전달하다, 알리다",B,7.0,2.0,5.67,6.33
koncepto,{Ｂ}【哲】概念,概念,개념,C,9.0,3.0,8.79,8.9
koncerni,"{Ｂ}［他］（物事が）～に関係がある, ～にかかわる",涉及，关系到,"관련되다, 관계가 있다",B,7.0,2.0,5.67,6.33
koncerto,"{Ｂ}【楽】コンサート, 演奏会, 音楽会; 《転》協調, 協力",音乐会，演奏会；（转）协同，合作,"콘서트, 음악회, 연주회; (비유) 협조, 협력",C,8.0,3.0,8.79,8.4
kondamni,"{Ｂ}［他］【法】刑を宣告する, 有罪とする; 非難する, とがめる",宣判（有罪）；谴责，非难,"유죄를 선고하다; 비난하다, 단죄하다",C,8.0,3.0,8.79,8.4
kondiĉo,"{Ｂ}条件; 約定; 状態, 環境",条件；条款；状态，环境,"조건, 약정 조항; 상태, 환경",B,6.0,2.0,5.67,5.83
konduki,"{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti",带领，引导；通向，导致；指挥；驾驶,"이끌다, 데리고 가다, 안내하다; 통하게 하다, 이르게 하다; 지휘하다; 운전하다",A,4.0,1.0,2.54,3.27
konduti,"{Ｂ}［自］ふるまう, 態度をとる",行为表现，待人接物,"행동하다, 처신하다",B,6.0,2.0,5.67,5.83
konferenco,"{Ｂ}（公的機関が主催する）会議, 協議会, 会談",会议，协商会，会谈,"공식 회의, 협의회, 회담",C,8.0,3.0,8.79,8.4
konfesi,"{Ｂ}［他］告白する, 打ち明ける; 白状する; （信仰を）告白する; 【キ】告解する, ざんげする",坦白，承认；供认；（信仰）告白；（宗）忏悔,"고백하다, 자백하다; (신앙을) 고백하다; (기독교) 고해성사하다",C,6.0,3.0,8.79,7.4
konfidenco,"{Ｂ}（内密の）打ち明け話, 内緒話",知心话，悄悄话，隐情,"비밀스러운 이야기, 속내",C,9.0,3.0,8.79,8.9
konfidi,"{Ｂ}［他］信頼する（託す）, 信用する; （信頼して）委託する, 預ける; （内密に）打ち明ける",信任，信赖，委托，吐露,"신뢰하다; (신뢰해) 맡기다, 위탁하다; (비밀을) 털어놓다",C,8.0,3.0,8.79,8.4
konfirmi,"{Ｂ}［他］確認する, 立証する; 認める, 追認する; =〜acii",确认，证实；批准，认可,"확인하다, 입증하다; 승인하다, 추인하다",C,8.0,3.0,8.79,8.4
konfuzi,"{Ｂ}［他］混乱させる, かき乱す; 取り違える, 混同する; まごつかせる, 困惑させる",使混乱，搅乱；混淆,"혼란시키다; 혼동하다, 뒤섞다; 당황하게 하다",C,8.0,3.0,8.79,8.4
kongreso,"{Ｂ}大会, 会議; 【政】（米の）国会, 連邦議会, （仏国会の）両院合同会議",大会，会议；（政）国会,"대회, 회의; (정치) 의회·국회, (미) 연방의회",B,7.0,2.0,5.67,6.33
koni,"{Ｂ}［他］（体験して）知っている; 知り合いである, 面識がある; 精通している; 経験する",认识；了解，熟悉；精通；亲身经历过,"경험으로 알다, 알고 있다; 안면이 있다; 정통하다; 경험해 보다",A,2.0,1.0,2.54,2.27
konjekti,"{Ｂ}［他］推測する, 推定する, 憶測する",推测，猜想，揣度,"추측하다, 짐작하다",C,8.0,3.0,8.79,8.4
konkludi,"{Ｂ}［他］結論する, 結論を下す; 締めくくる",得出结论，推断出；作结，结束,"결론을 내리다; 끝맺다, 마무리하다",C,8.0,3.0,8.79,8.4
konkuri,"{Ｂ}［自］競争する, 競う, 張り合う",竞争,"경쟁하다, 겨루다",C,8.0,3.0,8.79,8.4
konkurso,"{Ｂ}競技; 競技会, コンクール; 選抜試験",竞赛，比赛；选拔考试,"경기, 시합, 콩쿠르; 선발 시험",C,9.0,3.0,8.79,8.9
konscienco,"{Ｂ}良心, 道義心",良心，道德心,"양심, 도덕심",C,8.0,3.0,8.79,8.4
konscii,"{Ｂ}［自］意識している, 自覚している（「〜について」または節を補語に取る）",意识到；自觉,"의식하다, 자각하다",B,6.0,2.0,5.67,5.83
konsekvenco,"{Ｂ}（論理的）帰結, （当然の）結果, 成り行き",（逻辑）归结；结果，后果,"논리적 귀결, 결과",C,9.0,3.0,8.79,8.9
konsenti,"{Ｂ}［自］同意見である, 意見が一致している; ［他］承諾する, 容認する",同意,"의견이 일치하다; 동의하다, 승낙하다, 용인하다",A,4.0,1.0,2.54,3.27
konservi,"{Ｂ}［他］保存する, 保管する, 貯蔵する; 保つ, 保持する, 維持する",保存，保持,"보존하다, 보관하다, 유지하다",B,5.0,2.0,5.67,5.33
konsideri,"{Ｂ}［他］考慮する, 考察する; 考慮に入れる; （～と）見なす",考虑；把…看作…,"고려하다, 숙고하다; 〜로 간주하다",B,7.0,2.0,5.67,6.33
konsili,"{Ｂ}［他］助言する, 勧める, 忠告する",建议，劝告，忠告,조언하다,A,3.0,1.0,2.54,2.77
konsisti,"{Ｂ}［自］～から成り立つ, ～でできている; （本質・要点が）～にある",由…组成；其要点在于…,"…으로 이루어지다, …로 구성되다; 요점·본질이 …에 있다",B,6.0,2.0,5.67,5.83
konsoli,"{Ｂ}［他］慰める, （心痛を）和らげる, 癒やす",安慰；抚慰，减轻痛苦,슬픔을 위로하다,B,7.0,2.0,5.67,6.33
konstanta,"{Ｂ}不変の, 一定の, 常置の, 絶え間ない; （人が）志操堅固な",恒定，不变，坚贞,"변함없는, 일정한, 끊임없는; (사람이) 신념이 굳은",B,6.0,2.0,5.67,5.83
konstati,"{Ｂ}［他］（調べて）確認する, 確かめる, 確証する, >>〜",确认，证实；查明,조사해 사실 여부를 확인하다,B,7.0,2.0,5.67,6.33
konstitucio,"{Ｂ}【法】憲法; 【医】体質, 体格",宪法；（医）体质，体格,"헌법; (의학) 체질, 체격",C,9.0,3.0,8.79,8.9
konstrui,"{Ｂ}［他］建造する, 建築する, 建設する; 組み立てる, 構成する",建造，建筑；组装，构成,"건설하다, 건축하다; 조립하다, 구성하다",A,3.0,1.0,2.54,2.77
konsumi,"{Ｂ}［他］（少しずつ）消費する, 消耗する; 食べ尽くす, （炎が）焼き尽くす; やつれさせる",耗尽，用尽；消费，消耗；食（饮）用,"소비하다, 소모하다; 먹어 치우다, 태워 없애다; 여위게 하다",C,9.0,3.0,8.79,8.9
kontanta,"{Ｂ}【商】即時払いの, 即金の; 現金の, >>kredita",付现款的；现金的,"현금의, 즉시 지급하는",C,9.0,3.0,8.79,8.9
kontenta,"{Ｂ}満足した, 甘んじた",满意，满足,만족한,A,4.0,1.0,2.54,3.27
kontrakti,"{Ｂ}［自・他］契約する, 契約を結ぶ",订契约，立合同；缔结,계약을 체결하다,C,8.0,3.0,8.79,8.4
kontraŭ,"{Ｂ}［前］～に向かって, ～に対して, ～に対抗して, ～に反して",对着，向着；反对，违背,"〜에 맞서, 〜에 대하여, 〜에 반대하여",A,1.0,1.0,2.54,1.77
kontroli,"{Ｂ}［他］検査する, 点検する, 照合する, チェックする, 調べる, >>〜",检查，检验，核对,점검하거나 확인하다,B,8.0,2.0,5.67,6.83
konvena,"{Ｂ}適切な, ふさわしい, 向いている; 礼儀にかなった",适当，适合；合乎礼仪，得体,"알맞은, 적합한, 예의에 맞는",B,6.0,2.0,5.67,5.83
konversacii,"{Ｂ}［自］会話する, 親しく話す",会话，谈话，交谈,서로 대화하다,B,9.0,2.0,5.67,7.33
konvinki,"{Ｂ}［他］（論理や証拠によって）説得する, 説き伏せる",说服，使信服,논리와 증거로 남을 설득하다,C,8.0,3.0,8.79,8.4
korbo,"{Ｂ}かご, ざる",篮，筐，篓,"바구니, 광주리",C,5.0,3.0,8.79,6.9
kordo,"{Ｂ}【楽】弦; 《転》（心の）琴線; 【解】索状部, 声帯; 【数】弦",（乐）弦；（转）心弦；（解）索状部、声带；（数）弦,"(음악) 현; (비유) 마음의 현; (해부) 끈 모양의 부분, 성대; (수학) 현",C,8.0,3.0,8.79,8.4
korekti,"{Ｂ}［他］訂正する, 校正する; 修正する, 矯正する",改正，纠正；校正；修正,틀린 것을 바로잡고 수정하다,B,9.0,2.0,5.67,7.33
korespondi,"{Ｂ}［自］文通する; （乗物が）接続する; （内容などが）対応する, 一致する",通信（尤指书信往来）；（交通）衔接；（内容等）对应，一致,"편지를 주고받다, 통신하다; (교통편이) 접속하다; (내용 등이) 대응하다, 일치하다",B,6.0,2.0,5.67,5.83
koridoro,"{Ｂ}廊下, 通廊, 回廊; 【政】回廊地帯; 【車】（道路の）車線",走廊，回廊；（政）走廊地带；（交通）车道,"복도, 회랑; (정치) 회랑지대; (도로) 차선",C,9.0,3.0,8.79,8.9
korno,{Ｂ}【動】角（つの）; 角状のもの; 【楽】ホルン; 角笛（つのぶえ）; 警笛,角；角状物；号角（乐器/警报）,"뿔; 뿔 모양의 것; (음악) 호른, (신호) 경적",C,6.0,3.0,8.79,7.4
koro,"{Ｂ}【解】心臓; 《転》心（こころ）; 中心, 芯（しん）",心；心脏；中心,"심장, 마음, 중심",A,2.0,1.0,2.54,2.27
korpo,"{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体",身体，体；物体；（数）体,"몸, 신체, 육체; 몸통; 본체; 물체; (수학) 체",A,4.0,1.0,2.54,3.27
korto,{Ｂ}中庭,庭院,"집 안의 뜰, 안마당",B,3.0,2.0,5.67,4.33
korvo,"{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>〜, >>monedo",乌鸦（鸦科鸟）,까마귀,C,9.0,3.0,8.79,8.9
kosmo,"{Ｂ}【天】宇宙, >>〜; 《転》完全体系, ><kaoso",宇宙；（转）完整体系（与混沌相对）,"우주, 질서 있는 전체 세계",C,9.0,3.0,8.79,8.9
kosti,"{Ｂ}［自］費用がかかる, 値段が〜である; 《転》（代償を）要する",花费，要价；（转）需要付出代价,"값이 나가다, 비용이 들다; (비유) 대가가 들다",A,3.0,1.0,2.54,2.77
kostumo,"{Ｂ}服装, 衣装; 【劇】舞台衣装",服装，衣装；（戏剧）舞台服装,"복장, 의상; (연극) 무대 의상",C,9.0,3.0,8.79,8.9
koto,"{Ｂ}（雨などでできた）泥, ぬかるみ, >>ŝlimo; 《転》汚辱",泥，泥泞；（转）污辱，耻辱,"진흙, 진창; (비유) 치욕, 더러움",C,8.0,3.0,8.79,8.4
kotono,"{Ｂ}綿（めん）, 綿花; 木綿, >>〜",棉，棉花；棉织物,"솜, 면화; 면직물",C,7.0,3.0,8.79,7.9
koverto,{Ｂ}封筒,信封,편지봉투,B,5.0,2.0,5.67,5.33
kovri,"{Ｂ}［他］覆う, かぶせる; 覆いかくす; 償う, 埋め合わせる",覆盖，遮住；补偿，弥补,"덮다, 가리다; 보상하다, 메우다",A,4.0,1.0,2.54,3.27
krado,{Ｂ}【建】格子; 格子柵; 格子状のもの; 【電】グリッド,格子，栅格；铁篦子；（电）栅极,"격자, 창살, 격자 모양의 것; (전기) 그리드",C,8.0,3.0,8.79,8.4
krajono,{Ｂ}鉛筆,铅笔,연필,B,5.0,2.0,5.67,5.33
kranio,"{Ｂ}【解】頭蓋, 頭蓋骨; 《転》頭",颅，头盖骨；（转）头部,"두개골, 머리뼈",C,9.0,3.0,8.79,8.9
krano,"{Ｂ}【機】（水道・ガスなどの）栓, コック, 蛇口",旋塞，龙头,수도·가스의 꼭지,C,8.0,3.0,8.79,8.4
kravato,{Ｂ}【服】ネクタイ,领带,넥타이,C,6.0,3.0,8.79,7.4
kraĉi,{Ｂ}［自］つば・たんを吐く; ［他］吐く,吐痰，吐唾沫,침이나 가래를 뱉다,C,9.0,3.0,8.79,8.9
kredi,"{Ｂ}［他］信じる, 確信する, 信用する; ［自］信仰する",相信；信任；（宗）信仰,"믿다, 확신하다, 신용하다; (종교) 신앙하다",A,2.0,1.0,2.54,2.27
kredito,"{Ｂ}【商】信用; 掛け, 信用貸; （簿記の）貸方, ><〜",信用；赊购，赊欠；（簿记）贷方,"신용; 외상, 신용 거래; (회계) 대변",C,9.0,3.0,8.79,8.9
krei,"{Ｂ}［他］創造する, 創作する, 創設する, 創出する",创造，开创,"새로 만들다, 창조하다",B,5.0,2.0,5.67,5.33
kremo,"{Ｂ}乳脂, クリーム; 【薬】クリーム; 《転》最良の部分",奶油；（药/化妆品）霜；奶油状物；（转）精华,"유지, 크림; (약·화장품) 크림제; (비유) 최정수",C,7.0,3.0,8.79,7.9
krepusko,"{Ｂ}（朝・夕の）薄明り, たそがれ; 《転》衰え",拂晓；黄昏；衰微，晚年,"새벽·황혼의 어스름; (비유) 쇠퇴, 몰락기",C,8.0,3.0,8.79,8.4
kreski,"{Ｂ}［自］成長する, 発育する, 生える; 《転》増大する",生长，成长；（转）增长，扩大,"자라다, 성장하다; (비유) 증가·확대되다",A,3.0,1.0,2.54,2.77
kreto,"{Ｂ}チョーク, 白墨; 【鉱】白亜",白垩，粉笔,"백악, 분필",C,8.0,3.0,8.79,8.4
krevi,"{Ｂ}［自］はじける, 破裂する, はり裂ける; ひび割れる",爆裂，破裂，裂开,"터지다, 파열하다",C,7.0,3.0,8.79,7.9
krii,"{Ｂ}［自］叫ぶ, 泣き叫ぶ; ［他］大声で言う",大叫，喊叫；高声说,"고함치다, 큰 소리로 외치다",A,3.0,1.0,2.54,2.77
krimo,"{Ｂ}罪, 犯罪",罪行，犯罪；罪恶,범죄,C,6.0,3.0,8.79,7.4
kripla,"{Ｂ}身体に障害のある, 肢体が不自由な; 欠陥のある（差別的表現は避ける）",肢体残障的；有缺陷的,"신체에 장애가 있는, 팔다리가 불편한",C,8.0,3.0,8.79,8.4
kristalo,{Ｂ}【化】結晶; クリスタルガラス（鉱物の水晶は kvarco）,晶体，结晶体；水晶玻璃,결정; 크리스털 유리,C,9.0,3.0,8.79,8.9
kritiki,{Ｂ}［他］批評する; 批判する,评论；批评，批判,"비평하다, 비판하다",B,8.0,2.0,5.67,6.83
krizo,"{Ｂ}危機, 重大局面; 【医】（病気の）急変, 発作",危机，重大关头；（医）急变，发作,"위기, 중대한 국면; (의학) 급변, 발작",C,8.0,3.0,8.79,8.4
krokodilo,"{Ｂ}【動】ワニ（鰐，総称）; クロコダイル（科）（ナイルワニ、イリエワニなど）, >>aligatoro",鳄鱼（鳄属动物）；[~i]在讲世界语的环境中说民族语,악어,C,9.0,3.0,8.79,8.9
krom,{Ｂ}［前］～のほかは（～を除いて）; ～のほかにも（～を含めて）,除…之外（不含）；除…之外还有（包含）,…을 제외하고; …외에도,A,1.0,1.0,2.54,1.77
krono,"{Ｂ}冠, 王冠; （栄誉の印としての）花冠, 栄冠; 王権, 王位; 冠状のもの / 【貨】クローネ（デンマーク・スウェーデンなどの通貨）",冠，王冠；花冠，荣冠；王权，王位；冠状物；（货币）克朗,"왕관, 화관, 영예의 관; 왕권, 왕위; 관 모양의 것; (화폐) 크로네",C,8.0,3.0,8.79,8.4
kroĉi,"{Ｂ}［他］掛ける, ひっ掛ける; 強くつかむ",（用钩）悬挂；抓住，固定,"걸다, 매달다; 갈고리로 고정하다; 꽉 붙잡다",C,7.0,3.0,8.79,7.9
kruco,{Ｂ}【宗】十字架; はりつけ台; 十字形のもの; 《転》苦難,十字架；十字形标记、符号、物品；（转）苦难,십자가; 십자형의 것; (비유) 고난,B,5.0,2.0,5.67,5.33
kruda,"{Ｂ}生の, 未加工の; 粗野な, 荒々しい",生的，天然，未加工的，粗鲁,"날것의, 미가공의; 거친, 조야한",B,7.0,2.0,5.67,6.33
kruela,"{Ｂ}残酷な, むごい; 厳しい, 悲惨な",残忍，残暴；惨痛，悲惨,"잔인한, 무자비한",C,8.0,3.0,8.79,8.4
kruro,"{Ｂ}（人・動物の）脚, 足（全体）; 【解】すね, 脚（膝から足首まで）, >>〜; 《転》脚部",腿，脚；（解）小腿（膝至踝）；（转）支脚，腿状部位,사람·동물의 다리; (해부) 종아리; (비유) 다리 부분,B,5.0,2.0,5.67,5.33
krusto,"{Ｂ}（パン菓子などの）硬い皮, 外皮; 硬い表面, 殻; （傷の）かさぶた; 【地】地殻",硬皮，外壳；痂；（地）地壳,"딱딱한 껍질, 표면; (상처의) 딱지; (지질) 지각",C,8.0,3.0,8.79,8.4
kruta,"{Ｂ}切り立った, 険しい",险峻，陡峭,가파르고 험한,C,8.0,3.0,8.79,8.4
kruĉo,"{Ｂ}（取っ手と注ぎ口のある）水差し, ピッチャー, ポット",壶，水罐；有柄带嘴的容器,손잡이와 주둥이가 있는 물주전자,C,8.0,3.0,8.79,8.4
kubo,"{Ｂ}【数】立方体; 【数】立方; サイコロ, =ĵet〜; 立方形の物",立方体；（数）立方；骰子；立方形物体,정육면체; (수학) 세제곱; 주사위; 정육면체 모양의 물체,C,9.0,3.0,8.79,8.9
kubuto,"{Ｂ}【解】ひじ; 《転》曲がり角, 屈曲部; 【機】エルボ（管）, Ｌ字継手",肘；弯头，弯管接头,팔꿈치; 굽은 부분; (기계) 엘보관,C,8.0,3.0,8.79,8.4
kudri,"{Ｂ}［他］縫う, 縫い合わせる",缝,"꿰매다, 바느질하다",B,7.0,2.0,5.67,6.33
kuglo,"{Ｂ}弾丸, たま, 小銃弾",子弹，枪弹,"총의 탄환, 총알",C,8.0,3.0,8.79,8.4
kuiri,"{Ｂ}［他］（加熱して）料理する, 調理する",煮，烧，烹调,가열해 조리하다,A,4.0,1.0,2.54,3.27
kuko,"{Ｂ}【菓】焼き菓子, ケーキ, パイなどのケーキ類",蛋糕，糕点；派类点心,"케이크, 파이 등의 구운 과자",B,5.0,2.0,5.67,5.33
kukumo,{Ｂ}【植】キュウリ（種）; キュウリの果実,黄瓜；（尤指）黄瓜果实,"오이, 오이 열매",C,9.0,3.0,8.79,8.9
kukurbo,{Ｂ}【植】カボチャ（属）,南瓜属植物（南瓜、西葫芦等）,호박; (식물) 호박속 식물,C,9.0,3.0,8.79,8.9
kulero,"{Ｂ}【料】さじ, スプーン",匙，勺，汤匙,"숟가락, 스푼",B,5.0,2.0,5.67,5.33
kulpa,"{Ｂ}罪のある, 過ちを犯した",有罪的；有过失的,"죄 있는, 잘못 있는",B,5.0,2.0,5.67,5.33
kulturi,"{Ｂ}［他］土地を耕作する, 栽培・養殖する; （人を）啓発する, 文化的に高める; =kultivi（耕作する・栽培する）",耕作，栽培，养殖；教化，启发，使有文化,"경작하다, 재배·양식하다; 사람을 교화하고 문화적으로 계발하다",B,6.0,2.0,5.67,5.83
kun,"{Ｂ}［前］～と共に, ～と一緒に; ～と, ～に対して; ～を連れて, ～を持って; ～と同時に, ～しながら",和…一起；与…；带着…；用…,"…와 함께, …와 같이; …와, …에 대하여; …을 데리고, …을 가지고; …와 동시에, …하면서",A,1.0,1.0,2.54,1.77
kuniklo,"{Ｂ}【動】カイウサギ, イエウサギ（家兎）, >>〜",家兔；（泛）兔子,집에서 기르는 토끼,C,9.0,3.0,8.79,8.9
kupono,"{Ｂ}クーポン（券）, 切符の半券; 【経】利札（りさつ）",券，票券（coupon）；票券存根；（经）息票,"쿠폰, 승차권 반쪽(반표); (경제) 이표",C,9.0,3.0,8.79,8.9
kupro,{Ｂ}【化】銅（原子番号29の金属元素）,铜,구리,C,8.0,3.0,8.79,8.4
kuraci,"{Ｂ}［他］治療する, 治す; 《転》癒やす",治疗；医治；（转）抚慰，治愈,"치료하다, 병을 고치다; (비유) 치유하다",B,5.0,2.0,5.67,5.33
kuraĝa,"{Ｂ}勇気ある, 勇敢な, 度胸のある, 元気な",勇敢，有胆量；精神振作的,"용감한, 씩씩한",A,3.0,1.0,2.54,2.77
kurbo,"{Ｂ}曲線, カーブ; 【学】（グラフの）曲線",曲线,"곡선, 커브",C,7.0,3.0,8.79,7.9
kuri,"{Ｂ}［自］走る, 駆ける; 急いで行く; （水などが）流れる",跑，奔走；（水等）流动,"달리다, 뛰다; 급히 가다; (물 등이) 흐르다",A,3.0,1.0,2.54,2.77
kurioza,"{Ｂ}珍しい, 奇妙な, 好奇心をそそる",稀奇，离奇，令人惊奇,진기하고 이상한,C,7.0,3.0,8.79,7.9
kurso,"{Ｂ}講座, 講習会, 課程; コース, 道順, 路線; 相場, レート",课程，讲习班；路线，航线；行情，汇率,"강좌, 강습, 과정; 코스, 노선, 항로; 시세, 환율",B,7.0,2.0,5.67,6.33
kurteno,"{Ｂ}カーテン, （劇場の）幕",帏，帐，幔，帘,"커튼, 막",C,8.0,3.0,8.79,8.4
kuseno,"{Ｂ}クッション, 座布団, 枕; 【ビリヤード】クッション",垫子，坐垫，靠垫，枕头；（台球）库边,"쿠션, 방석, 베개; (당구) 쿠션",C,9.0,3.0,8.79,8.9
kutimo,"{Ｂ}（個人の）習慣, 癖（くせ）; （社会の）習わし, 慣習",习惯，习俗,"습관, 버릇; (사회) 관습, 풍습",B,4.0,2.0,5.67,4.83
kuvo,"{Ｂ}桶（おけ）, たらい",盆，桶，缸,"통, 대야",C,6.0,3.0,8.79,7.4
kuzo,{Ｂ}いとこ（男）,堂（表）兄弟（男）；男表亲,남자 사촌,B,5.0,2.0,5.67,5.33
kuŝi,"{Ｂ}［自］横たわっている, （水平に）置かれている; （異性と）寝る; 《転》位置する, 存在する, ある",躺着；（水平地）放置；位于，处于；（与异性）同寝,"누워 있다; (수평으로) 놓여 있다; (이성과) 동침하다; (비유) 위치하다, 존재하다",A,4.0,1.0,2.54,3.27
kvadrato,"{Ｂ}【数】正方形; 【数】平方, 二乗; 【軍】方陣",正方形；平方；（军）方阵,정사각형; (수학) 제곱; (군사) 방진,C,7.0,3.0,8.79,7.9
kvalito,"{Ｂ}質, 品質, ><〜; 特性, 特質",质量，品质；性质，特性,"질, 품질; 특성, 자질",B,7.0,2.0,5.67,6.33
kvankam,"{Ｂ}［接］（～だ）けれども, とはいえ, にもかかわらず",虽然，尽管,비록 …일지라도,A,1.0,1.0,2.54,1.77
kvanto,"{Ｂ}量, 数量, ><〜",量，数量,"양, 수량",B,7.0,2.0,5.67,6.33
kvar,{Ｂ}［数詞］四,四,넷,A,1.0,1.0,2.54,1.77
kvartalo,"{Ｂ}市区, 区画, 街区, 地区, >>urboparto",街区，市区，地区,"시구, 구획, 블록, 지구",C,8.0,3.0,8.79,8.4
kvazaŭ,"{Ｂ}［副］まるで～のように, あたかも / {Ｂ}［接］まるで～のように",好像，仿佛,"마치 …처럼, …인 듯이",A,1.0,1.0,2.54,1.77
kverko,"{Ｂ}【植】ナラ（楢）, カシ（樫）, オーク; 【植】コナラ属",栎属植物（栎树，橡树）,"참나무, 오크나무",C,8.0,3.0,8.79,8.4
kvieta,"{Ｂ}静かな, おだやかな, おとなしい, >>〜",平静，寂静；安详；温和,조용하고 평온한; 온순한,B,6.0,2.0,5.67,5.83
kvin,{Ｂ}［数詞］五,五,다섯,A,1.0,1.0,2.54,1.77
la,{Ｂ}［定冠詞］（既知のもの・種全体を示す）,[定冠词]表示特指、已知事物或某一类整体,정관사,A,1.0,1.0,2.54,1.77
labori,"{Ｂ}［自］働く, 労働する, 仕事する, 勤める; 勉強する; 精を出す; （機械が）作動する",工作，劳动；学习；（机器）运转,"일하다, 노동하다; 공부하다; (기계가) 작동하다",A,2.0,1.0,2.54,2.27
